기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국산업안전보건공단,준정부기관(위탁집행형),고용노동부,2229.63,83.0,69202.0,174368.0,울산광역시,0.0372259074375569,2.5196959625444353
한국산업은행,기타공공기관,금융위원회,3423.0,224.0,114659.0,321917.0,서울특별시,0.065439672801636,2.8076034153446305
한국산업인력공단,준정부기관(위탁집행형),고용노동부,1881.7,78.0,65422.0,166083.0,울산광역시,0.04145187862039645,2.5386414356027025
한국상하수도협회,기타공공기관,기후에너지환경부,76.0,4.0,69715.0,178095.0,서울특별시,0.05263157894736842,2.5546152191063616
한국생명존중희망재단,기타공공기관,보건복지부,175.0,10.0,51098.0,126530.0,서울특별시,0.05714285714285714,2.4762221613370388
한국서부발전(주),공기업(시장형),기후에너지환경부,2843.0,95.0,91243.0,142963.0,충청남도,0.03341540626099191,1.5668380040112666
한국석유공사,공기업(시장형),산업통상부,1449.0,46.0,95085.0,155961.0,울산광역시,0.031746031746031744,1.6402271651680076
한국석유관리원,준정부기관(위탁집행형),산업통상부,449.0,18.0,68151.0,187623.0,경기도,0.0400890868596882,2.753048377866796
한국세라믹기술원,기타공공기관,산업통상부,236.0,7.0,99443.0,223117.0,경상남도,0.029661016949152543,2.243667226451334
한국소방산업기술원,기타공공기관,소방청,322.0,17.0,63256.0,115054.0,경기도,0.052795031055900624,1.818863032755786
한국소비자원,준정부기관(위탁집행형),공정거래위원회,543.0,45.0,64296.0,172103.0,충청북도,0.08287292817679558,2.6767295010576087
한국수력원자력(주),공기업(시장형),기후에너지환경부,12794.0,432.0,101770.0,168520.0,경상북도,0.03376582773174926,1.6558907340080573
한국수목원정원관리원,준정부기관(위탁집행형),산림청,453.0,28.0,59193.0,180493.0,세종특별자치시,0.06181015452538632,3.04922879394523
한국수산자원공단,기타공공기관,해양수산부,347.0,7.0,68772.0,167891.0,부산광역시,0.020172910662824207,2.4412697027860175
한국수자원공사,공기업(준시장형),기후에너지환경부,6377.0,254.0,83533.0,157482.0,대전광역시,0.03983064136741415,1.8852669005063867
한국수자원조사기술원,기타공공기관,기후에너지환경부,170.0,8.0,69074.0,218663.0,경기도,0.047058823529411764,3.1656339577844053
한국수출입은행,기타공공기관,재정경제부,1322.54,92.0,112924.0,324721.0,서울특별시,0.06956311340299727,2.8755711806170523
한국승강기안전공단,준정부기관(위탁집행형),행정안전부,1668.0,86.0,57896.0,174367.0,경상남도,0.05155875299760192,3.0117279259361616
한국식품산업클러스터진흥원,기타공공기관,농림축산식품부,114.0,16.0,55396.0,225395.0,전라북도,0.14035087719298245,4.068795580908369
한국식품안전관리인증원,기타공공기관,식품의약품안전처,264.0,9.0,57720.0,181009.0,충청북도,0.03409090909090909,3.135984060984061
한국양성평등교육진흥원,기타공공기관,성평등가족부,122.0,5.0,58077.0,170801.0,서울특별시,0.040983606557377046,2.940940475575529
한국어촌어항공단,기타공공기관,해양수산부,245.0,37.0,55834.0,182923.0,서울특별시,0.1510204081632653,3.2761937170899453
한국언론진흥재단,기타공공기관,문화체육관광부,218.0,9.0,79906.0,163148.0,서울특별시,0.04128440366972477,2.0417490551397894
한국에너지공단,준정부기관(위탁집행형),기후에너지환경부,755.0,43.0,69784.0,180905.0,울산광역시,0.05695364238410596,2.5923564140777255
한국에너지기술평가원,기타공공기관,기후에너지환경부,197.0,21.0,85676.0,186798.0,서울특별시,0.1065989847715736,2.180283860124189
한국에너지정보문화재단,기타공공기관,기후에너지환경부,35.0,2.0,66512.0,133570.0,서울특별시,0.05714285714285714,2.0082090449843637
한국여성과학기술인육성재단,기타공공기관,과학기술정보통신부,45.0,2.0,51333.0,167298.0,서울특별시,0.044444444444444446,3.2590731108643562
한국여성인권진흥원,기타공공기관,성평등가족부,131.0,21.0,44957.0,147301.0,서울특별시,0.16030534351145037,3.27648642035723
한국여성정책연구원,기타공공기관,국무조정실,130.0,5.0,75887.0,,서울특별시,0.038461538461538464,
한국연구재단,준정부기관(위탁집행형),과학기술정보통신부,626.0,24.0,93520.0,195636.0,대전광역시,0.038338658146964855,2.0919161676646705
한국영상자료원,기타공공기관,문화체육관광부,98.0,3.0,55270.0,152030.0,서울특별시,0.030612244897959183,2.7506784874253665
한국예술인복지재단,기타공공기관,문화체육관광부,45.0,3.0,52903.0,125903.0,서울특별시,0.06666666666666667,2.379883938529006
한국원산지정보원,기타공공기관,관세청,48.0,3.0,53281.0,188394.0,경기도,0.0625,3.53585705973987
한국원자력안전기술원,기타공공기관,원자력안전위원회,631.0,27.0,108186.0,206843.0,대전광역시,0.042789223454833596,1.9119202114876233
한국원자력안전재단,기타공공기관,원자력안전위원회,83.0,3.0,76240.0,188012.0,경기도,0.03614457831325301,2.4660545645330534
